district_name,mandal_name,village_name,name_of_the_unit,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,is_online,social_status
RANGAREDDY,FAROOQNAGAR,ELKATTA,ELITE LAMINATES PVT LTD,PLY-BOARD MANUFACTURING (INCLUDINGVENEER AND LAMINATE) WITH OIL FIREDBOILER/ THERMLC FLUID HEATER(WITHOUTRESIN PLANT),WOOD AND LEATHER,5.72725,2,06/06/2025,13/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
RANGAREDDY,KADTHAL,CHELLAMPALLE,SAM STONE CRUSHER,STONE CRUSHERS,GRANITE AND STONE CRUSHING,5.0,10,05/07/2025,12/08/2025,YET TO START CONSTRUCTION,YES,OBC
SURYAPET,SURYAPET,YERKARAM,SRI MAHALAKSHMI INDUSTRIES,POLYTHENE AND PLASTIC PROCESSED PRODUCTS MANUFACTURING(VIRGIN PLASTIC),PLASTIC AND RUBBER,0.8169,5,18/06/2025,12/08/2025,YET TO START CONSTRUCTION,YES,OBC
SANGAREDDY,PATANCHERU,PATANCHERU,S MOHAN CONSTRUCTIONS,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,1.6067,6,29/07/2025,12/08/2025,YET TO START CONSTRUCTION,YES,OBC
MEDCHAL,QUTUBULLAPUR,JEEDIMETLA,M/S. UJWALA ENTERPRISES,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.25,3,11/08/2025,12/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
JAGTIAL,JAGTIAL,JAGITIAL,M/S.MINAR SAW MILL AND TIMBER DEPOT,SAW MILLS,WOOD AND LEATHER,0.17,4,04/08/2025,12/08/2025,YET TO START CONSTRUCTION,YES,OBC
JAGTIAL,VELGATOOR,ENDAPALLE,M/S. SRI LAXMI DURGA CEMENT BRICKS INDUSTRIES,"CEMENT PRODUCTS (WITHOUT USING ASBESTOS / BOILER / STEAM CURING) LIKE PIPE ,PILLAR, JAFRI, WELL RING, BLOCK/TILES ETC.(SHOULD BE DONE IN CLOSED COVERED SHED TO CONTROL FUGITIVE EMISSIONS)","CEMENT, CEMENT & CONCRETE PRODUCTS, FLY ASH BRICKS",0.13,5,29/07/2025,12/08/2025,YET TO START CONSTRUCTION,YES,OBC
NIZAMABAD,VARNI,VARNI,SRI SHIVA INDUSTRIES,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,2.0,10,18/02/2025,12/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
ADILABAD,NERADIGONDA,NERADIGONDA,M/S SRI GANESH FLASH BRICKS,FLY ASH BRICKS/ BLOCK MANUFACTURING,"CEMENT, CEMENT & CONCRETE PRODUCTS, FLY ASH BRICKS",0.18,8,08/08/2025,12/08/2025,YET TO START CONSTRUCTION,YES,ST
SANGAREDDY,PATANCHERU,SULTANPUR,BLUBEE INDUSTRIES PRIVATE LIMITED,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,4.4282,20,04/08/2025,11/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
RANGAREDDY,SAROORNAGAR,NADARGUL (RURAL),MARUTHI INDUSTRIES,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,4.05,10,18/07/2025,11/08/2025,YET TO START CONSTRUCTION,YES,OBC
RANGAREDDY,FAROOQNAGAR,BURGUL,SHREE ULTRA INKS PVT LTD EXPANSION,PRINTING INK MANUFACTURING,PHARMACEUTICALS AND CHEMICALS,1.12,10,15/07/2025,11/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
WANAPARTHY,GOPALPETA,CHENNARAM,SATHYA SAI INDUSTRIES,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,0.8,10,30/07/2025,11/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
PEDDAPALLI,MUTHARAM (MANTHANI),ODEDU,M/S. SRI BALAJI SAWMILL AND DEPOT,SAW MILLS,WOOD AND LEATHER,0.17,4,01/08/2025,11/08/2025,YET TO START CONSTRUCTION,YES,ST
MEDCHAL,QUTUBULLAPUR,JEEDIMETLA,M/S. SHODHANA LABORATORIES PRIVATE LIMITED,PHARMACEUTICALS,PHARMACEUTICALS AND CHEMICALS,5.0,40,11/07/2025,11/08/2025,YET TO START CONSTRUCTION,YES,OBC
BHUPALPALLY,BHUPALPALLE,BHUPALPALLE,SUDHIKSHA FLOUR MILL,FLOUR MILLS (DRY PROCESS),FOOD PROCESSING,0.115,1,26/07/2025,11/08/2025,YET TO START CONSTRUCTION,YES,OBC
RANGAREDDY,SAROORNAGAR,NADARGUL (RURAL),SANDHYA PRECISION ENGINEERING WORKS,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,2.45,10,24/06/2025,11/08/2025,YET TO START CONSTRUCTION,YES,SC
ADILABAD,NERADIGONDA,KORATKAL (BUZURG),BALAJI CEMENT BRICK WORKS,BRICKFIELDS ( EXCLUDING FLY ASH BRICK MANUFACTURING USING LIME PROCESS),"CEMENT, CEMENT & CONCRETE PRODUCTS, FLY ASH BRICKS",0.025,5,30/07/2025,11/08/2025,YET TO START CONSTRUCTION,YES,OBC
SURYAPET,HUZURNAGAR,HUZURNAGAR,M/S. MATTAPALLY LAKSHMI NARASIMHA SWAMY PARBOILED MODERN RICE MILL,PARBOILED RICE MILLS,FOOD PROCESSING,1.5,10,16/06/2025,11/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
JAGTIAL,MALLIAL,RAMPUR,SRI RAJA RAJESHWARA INDUSTRIES,PARBOILED RICE MILLS,FOOD PROCESSING,1.0,120,07/07/2025,08/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
RANGAREDDY,IBRAHIMPATNAM,MANGALPALLE,VAISHNAVI AGRO FRESH COLD STORAGE PRIVATELIMITED,CHILLING PLANT AND ICE MAKING WITHOUT USING AMMONIA,AGRO BASED INCL COLD STORAGES,2.5,20,05/08/2025,08/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
HANUMAKONDA,SHAYAMPET,SINGARAM (DONGALA),HANUMAN FLY ASH BRICKS,FLY ASH BRICKS/ BLOCK MANUFACTURING,"CEMENT, CEMENT & CONCRETE PRODUCTS, FLY ASH BRICKS",0.08,4,09/07/2025,08/08/2025,YET TO START CONSTRUCTION,YES,OBC
SANGAREDDY,JINNARAM,CHETLAPOTHARAM,SRI SAIRAM CONTAINERS,CARDBOARD OR CORRUGATED BOX AND PAPER PRODUCTS (EXCLUDING PAPER OR PULP MANUFACTURING AND WITHOUT USING BOILERS),PAPER AND PRINTING,0.25,10,04/08/2025,08/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
SURYAPET,HUZURNAGAR,HUZURNAGAR,LAXMI GANAPATHI STOREGE GOEDOM,PARBOILED RICE MILLS,FOOD PROCESSING,4.9242,9,21/07/2025,07/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
JAGTIAL,GOLLAPALLE,CHILWAKODUR,M/S. SRI ANJANEYA PARA BOILED RICE INDUSTRIES,PARBOILED RICE MILLS,FOOD PROCESSING,2.3,20,22/07/2025,07/08/2025,YET TO START CONSTRUCTION,YES,OBC
MEDAK,RAMAYAMPET,DONGAL DHARMARAM,SRI VENKATESHWARAA RICE MILL,PARBOILED RICE MILLS,FOOD PROCESSING,1.65,15,26/07/2025,07/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
MULUGU,MULUGU,KASIMDEVIPET,M/S JAI HANUMAN AGRO INDUSTRIES PARABOILED RICEMILL,PARBOILED RICE MILLS,FOOD PROCESSING,1.9,12,12/06/2025,07/08/2025,YET TO START CONSTRUCTION,YES,OBC
YADADRI,CHOUTUPPAL,DANDUMALKAPUR,SPECTRA CHEM CORPORATION,TYRES AND TUBE RETREATING (WITHOUT BOILERS),PLASTIC AND RUBBER,0.15,10,05/08/2025,07/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
SIDDIPET,BEJJANKI,VADLUR-BEGUMPET,SAI INDUSTRIES,PARBOILED RICE MILLS,FOOD PROCESSING,1.0125,8,06/08/2025,07/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
SANGAREDDY,AMEENPUR,SULTANPUR,SNEHA FARMS PRIVATE LIMITED,MANUFACTURE OF EGG TRAYS,OTHERS,0.25,10,04/08/2025,07/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
JANGAON,KODAKANDLA,REGULA,""" M/S NANDISHWARA AGRO RICEMILL """,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,0.98,9,22/07/2025,07/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
NIZAMABAD,KOTGIRI,MALKAPUR,SRI SAI GANESH AGRO INDUSTRIES,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,3.834,10,22/07/2025,07/08/2025,YET TO START CONSTRUCTION,YES,OBC
MEDCHAL,KUKATPALLY,KUKATPALLY,M/S. ALMELO RESEARCH CENTRE (A DIVISION OF ALMELO PVT. LTD),PHARMACEUTICAL FORMULATION AND FOR R & D PURPOSE (FOR SUSTAINED RELEASE/EXTENDED RELEASE OF DRUGS ONLY AND NOT FOR COMMERCIAL PURPOSE),R&D,5.72725,150,18/07/2025,07/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
RANGAREDDY,NANDIGAMA,NANDIGAMA,POKARNA ENGINEEREDSTONE LIMITED,GRANITE / STONE CUTTING AND POLISHING,OTHERS,5.72725,20,24/10/2024,06/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
VIKARABAD,PEDDEMUL,KANDANELLI,HANUMAN STONE INDUSTRIES,"CUTTING, SIZING AND POLISHING OF MARBLE STONE",GRANITE AND STONE CRUSHING,0.15,4,03/08/2025,06/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
JAGTIAL,MALLAPUR,SIRPUR,M/S. MANGYA NAYAK AGRO INDUSTRIES,PARBOILED RICE MILLS,FOOD PROCESSING,2.3,20,23/07/2025,05/08/2025,YET TO START CONSTRUCTION,YES,OBC
RANGAREDDY,IBRAHIMPATNAM,TOOLEKALAN,M/S KALAKRUTHI EXLUSIVE DECORS PVT LTD,POLYTHENE AND PLASTIC PROCESSED PRODUCTS MANUFACTURING(VIRGIN PLASTIC),PLASTIC AND RUBBER,4.5,50,26/07/2025,05/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
YADADRI,BIBINAGAR,RAIRAOPET,HIMAJA INDUSTRIES.,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.9501,12,21/06/2025,05/08/2025,YET TO START CONSTRUCTION,YES,SC
SIRCILLA,SIRCILLA,SIRCILLA,M/S. RAJU TRADERS,POLYTHENE AND PLASTIC PROCESSED PRODUCTS MANUFACTURING(VIRGIN PLASTIC),PLASTIC AND RUBBER,0.2457,8,27/07/2025,05/08/2025,YET TO START CONSTRUCTION,YES,OBC
SIDDIPET,MULUG,BANDA MAILARAM,M/S. PATWAARI SNACKS PRIVATE LIMITED,PUFFED RICE (MURI) (USING GAS OR ELECTRICAL HEATING SYSTEM),FOOD PROCESSING,0.25,30,01/08/2025,05/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
SANGAREDDY,PATANCHERU,NANDIGAON,KISSHOUTENNYA BENZAITEN PRIVATE LIMITED,"MANUFACTURING OF TOOTH POWDER, TOOTHPASTE, TALCUM POWDER AND OTHER COSMETIC ITEMS",AGRO BASED INCL COLD STORAGES,0.4013,10,11/07/2025,05/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
MEDCHAL,DUNDIGAL GANDIMAISAMMA,BAHADURPALLY,M/S. SAGGIDI NARSING RAO,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.25,4,02/08/2025,05/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
MAHABUBABAD,KESAMUDRAM,KESAMUDRAM,"""M.S SRI CHAKRA INDUSTRIES """,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,1.4,9,09/06/2025,05/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
MAHABUBABAD,KESAMUDRAM,INUGURTHY,M/S ADARSHA RICE INDUSTRIES,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,1.6,9,24/05/2025,05/08/2025,YET TO START CONSTRUCTION,YES,OBC
KHAMMAM,TALLADA,MALLARAM,BHAGYALAXMI SAWMILL,SAW MILLS,WOOD AND LEATHER,0.035,3,23/07/2025,05/08/2025,YET TO START CONSTRUCTION,YES,OBC
RANGAREDDY,NANDIGAMA,NANDIGAMA,WASTE LESS WORLDWIDE INDUSTRIES PRIVATE LIMITED,"INDUSTRIES ENGAGED IN RECYCLING / REPROCESSING/ RECOVERY/REUSE OF HAZARDOUS WASTE UNDERSCHEDULE IV OF HAY( NIL, HTLZ TBM) RULES, 2008 - ITEMS NAMELY - SPENT CATALYST CONTAINING NICKEL, CADMIUM, ZINC, COPPER, ARSENIC, VANADIUM AND COBALT,",PHARMACEUTICALS AND CHEMICALS,5.0,8,09/07/2025,04/08/2025,YET TO START CONSTRUCTION,YES,OBC
RANGAREDDY,NANDIGAMA,NANDIGAMA,OPTIMIX EWASTE PRIVATE LIMITED,"INDUSTRIES ENGAGED IN RECYCLING / REPROCESSING/ RECOVERY/REUSE OF HAZARDOUS WASTE UNDERSCHEDULE IV OF HW( M, H& TBM) RULES, 2008 - ITEMS NAMELY -DISMANTLERS RECYCLINGYLANTSCOMPONENTS OF WASTE ELECTRICALAND ELECTRONIC ASSEMBLESCOMPRISING ACCUMULATORS ANDOTHER BATTERIES INCLUDED ON LISTA, MERCURY-SWITCHES, ACTIVATED GLASS CUILETS FROM CATHODE-RAY TUBES AND OTHER ACTIVATED GLASS AND PCB-CAPACITORS, OR ANY OTHER COMPONENT CONTAMINATED WITHSCHEDULE 2 CONSTITUENTS (E.G.CADMIUM, MERCURY, LEAD,POLYCHLORINATED BIPHENYL) TO AN EXTENT THAT THEY EXHIBIT HAZARD CHARACTERISTICS INDICATED IN PARTC OF THIS SCHEDULE.",PHARMACEUTICALS AND CHEMICALS,3.5,4,02/07/2025,04/08/2025,YET TO START CONSTRUCTION,YES,OBC
MULUGU,MULUGU,MULUG,A.R.ROOFING INDUSTRY,ENGINEERING WITHOUT PAINTING ACTIVITY,OTHERS,0.24,4,17/07/2025,04/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
YADADRI,BHONGIR,CHEEMALA KONDUR,SREE SREENIVASA RICE MILL,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,0.25,10,01/08/2025,04/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
SIDDIPET,WARGAL,MYLARAM,STANDARD WAREHOUSE,"FACILITY OF HANDLING, STORAGE AND TRANSPORTATION OF FOOD GRAINS IN BULK",AGRO BASED INCL COLD STORAGES,1.45,10,03/08/2024,04/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
SANGAREDDY,PATANCHERU,PASHAMYLARAM,BLYPIN ENTERPRISES PRIVATE LIMITED,CARDBOARD OR CORRUGATED BOX AND PAPER PRODUCTS (EXCLUDING PAPER OR PULP MANUFACTURING AND WITHOUT USING BOILERS),PAPER AND PRINTING,0.25,20,28/07/2025,04/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
MEDCHAL,GHATKESAR,CHERLAPALLY,SD ROCK BIT,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.65,15,31/07/2025,04/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
MEDCHAL,QUTUBULLAPUR,JEEDIMETLA,M/S AUCTOR HOME APPLIANCES LLP,POLYTHENE AND PLASTIC PROCESSED PRODUCTS MANUFACTURING(VIRGIN PLASTIC),PLASTIC AND RUBBER,0.24,20,23/07/2025,04/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
JANGAON,BACHANNAPET,ALIMPUR,GAL REDDY WATERPLANT,MINERALIZED WATER,BEVERAGES,0.06,2,31/07/2025,04/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
SANGAREDDY,ZAHIRABAD,KASIMPUR,AIRUS WATER PRIVATE LIMITED,MINERALIZED WATER,BEVERAGES,0.7,50,11/07/2025,02/08/2025,YET TO START CONSTRUCTION,YES,SC
RANGAREDDY,IBRAHIMPATNAM,IBRAHIMPATNAM (KHALSA),R.K. INTERNATIONAL.,SPICE GRINDING (UPTO-20 HP MOTOR),FOOD PROCESSING,3.13,15,22/07/2025,02/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
RANGAREDDY,IBRAHIMPATNAM,IBRAHIMPATNAM (KHALSA),AMRITA HERBOCEUTICALS.,AYURVEDIC AND HOMEOPATHIC MEDICINES (WITHOUT BOILER),PHARMACEUTICALS AND CHEMICALS,3.13,15,23/07/2025,02/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
YADADRI,BIBINAGAR,RAIRAOPET,SRI PRANATHI INDUSTRIES.,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.4338,4,22/07/2025,02/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
YADADRI,BIBINAGAR,RAIRAOPET,OMEGA ENGINEERING INDUSTRY.,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.5676,4,18/07/2025,02/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
VIKARABAD,VICARABAD,VIKARABAD TOWN,KAVITHA FLOUR MILL,FLOUR MILLS (DRY PROCESS),FOOD PROCESSING,0.0514,3,29/07/2025,02/08/2025,YET TO START CONSTRUCTION,YES,ST
SIDDIPET,KONDAPAK,MANGOLE,HAMSA RURAL GODOWN,"FACILITY OF HANDLING, STORAGE AND TRANSPORTATION OF FOOD GRAINS IN BULK",AGRO BASED INCL COLD STORAGES,0.25,10,31/07/2025,02/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
MEDCHAL,DUNDIGAL GANDIMAISAMMA,DUNDIGAL,NR ENTERPRISES,SAW MILLS,WOOD AND LEATHER,0.05,12,28/07/2025,02/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
MEDCHAL,UPPAL,NACHARAM,CHEMTATVA CHIRAL SOLUTIONS PRIVATE LIMITED UNIT - 2,PHARMACEUTICAL FORMULATION AND FOR R & D PURPOSE (FOR SUSTAINED RELEASE/EXTENDED RELEASE OF DRUGS ONLY AND NOT FOR COMMERCIAL PURPOSE),R&D,0.35,10,08/07/2025,02/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
MANCHERIAL,CHENNUR,KATHERSALA,M/S.ASMA BRICKS INDUSTRY,FLY ASH BRICKS/ BLOCK MANUFACTURING,"CEMENT, CEMENT & CONCRETE PRODUCTS, FLY ASH BRICKS",0.11,5,22/07/2025,02/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
MAHABUBABAD,NARSIMHULAPET,PEDDAMUPPARAM,BENITH WOOD WORKS,"CARPENTRY & WOODEN FURNITURE MANUFACTURING (EXCLUDING SAW MILL) WITH THE HELP OF ELECTRICAL (MOTORIZED) MACHINES SUCH AS ELECTRICAL WOOD PLANNER, STEEL SAW CUTTING CIRCULAR BLADE, ETC",WOOD AND LEATHER,0.07,3,23/07/2025,02/08/2025,YET TO START CONSTRUCTION,YES,OBC
RANGAREDDY,NANDIGAMA,NANDIGAMA,RENAVART RECYCLERS INDIA PVT LTD,"INDUSTRIES ENGAGED IN RECYCLING / REPROCESSING/ RECOVERY/REUSE OF HAZARDOUS WASTE UNDERSCHEDULE IV OF HW( M, H& TBM) RULES, 2008 - ITEMS NAMELY -DISMANTLERS RECYCLINGYLANTSCOMPONENTS OF WASTE ELECTRICALAND ELECTRONIC ASSEMBLESCOMPRISING ACCUMULATORS ANDOTHER BATTERIES INCLUDED ON LISTA, MERCURY-SWITCHES, ACTIVATED GLASS CUILETS FROM CATHODE-RAY TUBES AND OTHER ACTIVATED GLASS AND PCB-CAPACITORS, OR ANY OTHER COMPONENT CONTAMINATED WITHSCHEDULE 2 CONSTITUENTS (E.G.CADMIUM, MERCURY, LEAD,POLYCHLORINATED BIPHENYL) TO AN EXTENT THAT THEY EXHIBIT HAZARD CHARACTERISTICS INDICATED IN PARTC OF THIS SCHEDULE.",PHARMACEUTICALS AND CHEMICALS,1.65,15,31/07/2025,02/08/2025,YET TO START CONSTRUCTION,YES,OBC
NARAYANPET,NARWA,YAMKI,VENNELA AGRO INDUSTRIES,PARBOILED RICE MILLS,FOOD PROCESSING,4.85,10,08/07/2025,01/08/2025,YET TO START CONSTRUCTION,YES,OBC
WANAPARTHY,KOTHAKOTA,RAYANPET,SRI SAI NANDANA INDUSTRIES,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,0.985,10,21/07/2025,01/08/2025,YET TO START CONSTRUCTION,YES,OBC
SIRCILLA,VEMULAWADA,NAMPALLE,M/S. RAJDHANI GLASS & PLYWOOD,FIBRE GLASS PRODUCTION ANDPROCESSING (EXCLUDING MOULDING),GRANITE AND STONE CRUSHING,0.23,8,15/07/2025,01/08/2025,YET TO START CONSTRUCTION,YES,OBC
MEDAK,MANOHARABAD,KONDAPUR,ANNAPURNA POLYTECH.,POLYTHENE AND PLASTIC PROCESSED PRODUCTS MANUFACTURING(VIRGIN PLASTIC),PLASTIC AND RUBBER,0.05,15,30/07/2025,01/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
